iter	Logloss
0	0.6887160814
1	0.684808314
2	0.6811925039
3	0.6775236728
4	0.6736167234
5	0.6692139318
6	0.6658799406
7	0.6621037526
8	0.6583338921
9	0.6544922567
10	0.6511285424
11	0.6473939649
12	0.6437138391
13	0.6405127022
14	0.6369356971
15	0.6335077183
16	0.6303506981
17	0.6271937017
18	0.6240634418
19	0.6207993212
20	0.617401159
21	0.6135297078
22	0.6099656548
23	0.606853228
24	0.6039633878
25	0.6010212095
26	0.5976751518
27	0.5945260293
28	0.5915032394
29	0.5887367431
30	0.585433619
31	0.5827175433
32	0.5799560347
33	0.5772188446
34	0.5740211547
35	0.5706266504
36	0.5679636223
37	0.5655112774
38	0.5629304661
39	0.5603333123
40	0.5574504162
41	0.5543203591
42	0.5517955725
43	0.5491629533
44	0.5463997495
45	0.5434101273
46	0.5403980552
47	0.5379882635
48	0.5351200902
49	0.532634993
50	0.5302911288
51	0.5279680426
52	0.5256655554
53	0.5234322191
54	0.5205469528
55	0.5181951313
56	0.5153713451
57	0.5131744343
58	0.5109967386
59	0.508838953
60	0.5067572938
61	0.5044017862
62	0.5023015355
63	0.5002753023
64	0.4981065992
65	0.4956212017
66	0.4930288586
67	0.4910235406
68	0.4890039595
69	0.4870340584
70	0.4847064935
71	0.4827718167
72	0.480854777
73	0.4790800914
74	0.4770101042
75	0.4749048897
76	0.4725325007
77	0.470713416
78	0.4688404758
79	0.4671357543
80	0.4647278798
81	0.4627317658
82	0.4605650704
83	0.4588333321
84	0.4571165402
85	0.4554626633
86	0.4538585102
87	0.4519387066
88	0.450281711
89	0.4486440019
90	0.4466864857
91	0.4448551236
92	0.4425819791
93	0.4403923876
94	0.4384158262
95	0.4360167022
96	0.4341033782
97	0.4326528257
98	0.4311469896
99	0.4290211058
100	0.4275438691
101	0.4260793602
102	0.4245468391
103	0.4231078578
104	0.4217520813
105	0.4203377581
106	0.4187356422
107	0.4171169169
108	0.4155839219
109	0.414221329
110	0.4129099987
111	0.4115753007
112	0.4096873526
113	0.4083874483
114	0.4066036376
115	0.4053009948
116	0.4038611882
117	0.4025934827
118	0.4012405926
119	0.39998646
120	0.3987530415
121	0.397195078
122	0.395872743
123	0.3946596347
124	0.3934695866
125	0.3921426683
126	0.390474414
127	0.3891383262
128	0.3880132351
129	0.3864302487
130	0.3851713712
131	0.3840553303
132	0.3829491133
133	0.3815063413
134	0.3801074893
135	0.3784130012
136	0.3769693576
137	0.3758118853
138	0.3747309363
139	0.3731001382
140	0.3719115076
141	0.3706122386
142	0.369602074
143	0.3686066396
144	0.3676013711
145	0.3660885445
146	0.3651191417
147	0.3641581069
148	0.3629677207
149	0.3618586584
150	0.3604565785
151	0.3595286599
152	0.3586710726
153	0.3577873572
154	0.3564388125
155	0.3554346984
156	0.3544313973
157	0.3535509198
158	0.3526781175
159	0.3518866134
160	0.3510282063
161	0.3496989357
162	0.3488568766
163	0.3480221392
164	0.3471941011
165	0.3460016493
166	0.3451882312
167	0.3442487742
168	0.3432035856
169	0.3422581443
170	0.3414243974
171	0.3404013868
172	0.3389687439
173	0.3376882603
174	0.3366167605
175	0.3356412732
176	0.3347226824
177	0.333840903
178	0.3327968571
179	0.3320291188
180	0.3310407281
181	0.330198866
182	0.3294989625
183	0.3282951899
184	0.327486251
185	0.3268140913
186	0.3261267129
187	0.3254561425
188	0.3246613586
189	0.3240026705
190	0.3233501226
191	0.3222447318
192	0.3214007017
193	0.3201227096
194	0.3194965101
195	0.3188756766
196	0.3181350838
197	0.3170912383
198	0.3164872685
199	0.3153944398
200	0.3148020247
201	0.313591972
202	0.312782713
203	0.3117854353
204	0.3108214849
205	0.3098206823
206	0.3093105302
207	0.3084523584
208	0.3079046472
209	0.3070239857
210	0.3062980162
211	0.3057644328
212	0.3046358951
213	0.3041135818
214	0.3036253686
215	0.3027409776
216	0.3020317433
217	0.3015286287
218	0.3010297719
219	0.3003765282
220	0.299457461
221	0.298408962
222	0.2977293007
223	0.2971152613
224	0.2966444198
225	0.2959879577
226	0.2953729825
227	0.2947882847
228	0.2939409392
229	0.2930635281
230	0.2926801465
231	0.2918107432
232	0.2908722525
233	0.2903581029
234	0.2898202919
235	0.2891744145
236	0.2885541576
237	0.2876971872
238	0.2872835399
239	0.2865764308
240	0.2861698943
241	0.2855272279
242	0.2850074494
243	0.2841949002
244	0.2834503376
245	0.2825447041
246	0.2821607504
247	0.2817799959
248	0.2808434799
249	0.2799934196
250	0.2794273741
251	0.2785628991
252	0.2777975679
253	0.2774379444
254	0.2765920843
255	0.276067329
256	0.2754478333
257	0.2750045964
258	0.2746621983
259	0.2743217543
260	0.2737723998
261	0.2731303467
262	0.2723044627
263	0.2719776854
264	0.271463289
265	0.2709019002
266	0.2705833704
267	0.2699888068
268	0.2694339931
269	0.269123952
270	0.2688166026
271	0.2684859377
272	0.2677334273
273	0.2674333951
274	0.266659592
275	0.2660435858
276	0.265576857
277	0.2652887321
278	0.2649785616
279	0.2643614461
280	0.2638910546
281	0.2636129581
282	0.2630747324
283	0.2626234324
284	0.2623519737
285	0.2619702031
286	0.2613058477
287	0.2606641549
288	0.2600835723
289	0.2594823776
290	0.2588849571
291	0.2582802365
292	0.258027963
293	0.2574592075
294	0.2565795217
295	0.2562616614
296	0.2556882838
297	0.2550622474
298	0.2547650471
299	0.254275089
300	0.254041408
301	0.2538096191
302	0.2530627588
303	0.2525538382
304	0.2523293399
305	0.2521066537
306	0.2514615939
307	0.2512438408
308	0.2510110741
309	0.2507964017
310	0.2504369539
311	0.2502259416
312	0.2495913948
313	0.2491098871
314	0.2489040316
315	0.2487252392
316	0.2482852504
317	0.2478655335
318	0.2476371157
319	0.2472822888
320	0.2470859707
321	0.2465969881
322	0.2464041583
323	0.245979682
324	0.2453874512
325	0.2452005082
326	0.2447540431
327	0.2442167562
328	0.2440352553
329	0.2433969108
330	0.2432042626
331	0.2428496984
332	0.2424383698
333	0.2420733098
334	0.2417972315
335	0.241452907
336	0.2410052428
337	0.2408361391
338	0.2406684153
339	0.2402617011
340	0.2400966164
341	0.2398738788
342	0.2397114371
343	0.2394552194
344	0.2390086059
345	0.238750852
346	0.2382694868
347	0.2378713335
348	0.2376599046
349	0.2372910935
350	0.2368298472
351	0.2364385374
352	0.2358103409
353	0.2354432125
354	0.2352487269
355	0.2349637482
356	0.2347178025
357	0.2345581339
358	0.2341453709
359	0.2340050753
360	0.2336949847
361	0.2335558632
362	0.2331470682
363	0.232749375
364	0.2325362207
365	0.2322025737
366	0.2320710572
367	0.2319433425
368	0.2316047801
369	0.2311600175
370	0.2309806401
371	0.2308541148
372	0.230493206
373	0.2301153773
374	0.2299002701
375	0.2297807221
376	0.2295398901
377	0.2290716202
378	0.2289524215
379	0.2285100698
380	0.2280275323
381	0.2278629806
382	0.2275397374
383	0.2274260071
384	0.2272960038
385	0.2268092176
386	0.2264921541
387	0.2261322957
388	0.2260026192
389	0.2255771481
390	0.2253565084
391	0.2249499102
392	0.2246470178
393	0.2242105053
394	0.2241070385
395	0.2240012098
396	0.2236477376
397	0.2235429635
398	0.2232119417
399	0.2227651504
400	0.2226002207
401	0.222170011
402	0.2217812388
403	0.2216850625
404	0.2215896303
405	0.2210272391
406	0.220578949
407	0.2202050089
408	0.219773336
409	0.2196819329
410	0.2194868048
411	0.2193964902
412	0.2191125632
413	0.2188190203
414	0.2184623341
415	0.2183784065
416	0.2178326887
417	0.2173989375
418	0.2173139119
419	0.2169363641
420	0.2165400909
421	0.216404672
422	0.2159931821
423	0.2159118848
424	0.2158311572
425	0.2156297265
426	0.2154667404
427	0.2153472226
428	0.2152690316
429	0.2149576457
430	0.2146911498
431	0.2143896866
432	0.213873348
433	0.213798644
