iter	Passed	Remaining
0	0	815
1	1	765
2	2	672
3	2	656
4	3	631
5	3	631
6	4	630
7	5	630
8	5	619
9	6	632
10	6	617
11	7	607
12	7	605
13	8	597
14	9	591
15	9	595
16	10	590
17	10	582
18	11	574
19	11	573
20	12	569
21	12	571
22	13	567
23	14	576
24	15	590
25	15	586
26	16	584
27	16	586
28	17	587
29	18	584
30	18	586
31	19	584
32	19	579
33	20	575
34	21	582
35	21	587
36	22	583
37	23	590
38	23	587
39	24	584
40	24	583
41	25	584
42	26	581
43	26	582
44	27	579
45	28	583
46	28	586
47	29	583
48	29	581
49	30	581
50	31	578
51	31	575
52	32	572
53	32	569
54	33	569
55	33	567
56	34	570
57	34	567
58	35	564
59	35	561
60	36	560
61	36	558
62	37	556
63	37	554
64	38	556
65	39	558
66	40	557
67	40	555
68	41	553
69	41	551
70	42	554
71	42	551
72	43	549
73	43	548
74	44	548
75	44	546
76	45	546
77	46	544
78	46	543
79	47	544
80	48	546
81	48	545
82	49	544
83	49	543
84	50	541
85	50	539
86	51	539
87	51	538
88	52	536
89	52	535
90	53	537
91	54	536
92	55	537
93	55	536
94	56	538
95	57	538
96	57	537
97	58	536
98	58	535
99	59	537
100	60	535
101	60	533
102	61	535
103	61	533
104	62	533
105	63	531
106	63	530
107	64	530
108	64	530
109	65	529
110	65	528
111	66	530
112	67	528
113	67	528
114	68	528
115	69	527
116	69	527
117	70	525
118	70	525
119	71	525
120	72	523
121	72	523
122	73	522
123	73	521
124	74	520
125	75	520
126	75	521
127	76	520
128	77	520
129	77	520
130	78	520
131	78	518
132	79	517
133	79	516
134	80	515
135	81	515
136	81	514
137	82	515
138	83	514
139	83	515
140	84	514
141	85	514
142	85	513
143	86	511
144	86	511
145	87	512
146	88	511
147	88	509
148	89	510
149	90	511
150	90	510
151	91	509
152	91	508
153	92	507
154	93	508
155	93	508
156	94	507
157	95	506
158	95	505
159	96	504
160	96	503
161	97	503
162	97	501
163	98	500
164	98	499
165	99	499
166	99	498
167	100	498
168	101	499
169	102	498
170	102	497
171	103	496
